AreaSite,Latitude,Longitude,,,,,,,
C120A,35.47543200000000,-76.99484500000000,,,,,,,
C119,35.43713900000000,-76.96627500000000,,,,,,,
C12,34.59664200000000,-77.22941400000000,,,,,,,
C126A,35.47781400000000,-76.93127500000000,,,,,,,
C126,35.46106400000000,-76.89946900000000,,,,,,,
C121,35.50618100000000,-77.02182600000000,,,,,,,
C13,34.63316900000000,-77.13784700000000,,,,,,,
C132,34.86073500000000,-76.40274800000000,,,,,,,
C2,34.69394600000000,-76.69724200000000,,,,,,,
C130,34.62034500000000,-77.17929900000000,,,,,,,
C133,35.10260100000000,-77.04062800000000,,,,,,,
C131,34.64460000000000,-77.12492700000000,,,,,,,
C14,34.68846400000000,-76.64792300000000,,,,,,,
C21A,34.56133600000000,-77.28715500000000,,,,,,,
C21,34.57299900000000,-77.27120600000000,,,,,,,
C22,34.63391800000000,-77.20361800000000,,,,,,,
C22A,34.65263900000000,-77.16531300000000,,,,,,,
C23,34.63070200000000,-77.17881400000000,,,,,,,
C23A,34.62556000000000,-77.17857200000000,,,,,,,
C23B,34.62592800000000,-77.17088600000000,,,,,,,
C27,34.68454200000000,-77.11437800000000,,,,,,,
C27A,34.68483300000000,-77.12323500000000,,,,,,,
C25,34.63982800000000,-77.13963800000000,,,,,,,
C26,34.67855900000000,-77.15842900000000,,,,,,,
C24,34.62589900000000,-77.19944600000000,,,,,,,
C3,34.69583100000000,-76.71178300000000,,,,,,,
C29,34.68646800000000,-77.09226400000000,,,,,,,
C28,34.75933600000000,-77.12154600000000,,,,,,,
C30,34.67275500000000,-77.10026200000000,,,,,,,
C30A,34.65300000000000,-77.10200000000000,,,,,,,
C33,34.66979200000000,-77.04656500000000,,,,,,,
C31,34.67274900000000,-77.08551300000000,,,,,,,
C33A,34.66383500000000,-77.06795400000000,,,,,,,
C31A,34.67982100000000,-77.06532800000000,,,,,,,
C32,34.67365900000000,-77.06574300000000,,,,,,,
C35A,34.68600000000000,-77.05200000000000,,,,,,,
C34,34.67678500000000,-77.01342000000000,,,,,,,
C35,34.67632200000000,-77.03662800000000,,,,,,,
C34A,34.67360200000000,-77.00797800000000,,,,,,,
C37,34.70562100000000,-76.97124800000000,,,,,,,
C36,34.69660700000000,-77.00918600000000,,,,,,,
C38,34.68588400000000,-76.94868900000000,,,,,,,
C39A,34.70469200000000,-76.96295100000000,,,,,,,
C39,34.72248400000000,-76.94525700000000,,,,,,,
C3A,34.69700700000000,-76.72403000000000,,,,,,,
C4,34.69731100000000,-76.73911900000000,,,,,,,
C40,34.72365200000000,-76.89543800000000,,,,,,,
C41A,34.69029300000000,-76.88533000000000,,,,,,,
C43,34.72780900000000,-76.83692700000000,,,,,,,
C46,34.72492600000000,-76.78081700000000,,,,,,,
C45,34.70154300000000,-76.83222900000000,,,,,,,
C41B,34.69144900000000,-76.88590500000000,,,,,,,
C40A,34.70178500000000,-76.83233600000000,,,,,,,
C41,34.69131600000000,-76.89520000000000,,,,,,,
C42,34.72547100000000,-76.82656800000000,,,,,,,
C44,34.70320900000000,-76.80970800000000,,,,,,,
C47,34.70335100000000,-76.76884100000000,,,,,,,
C47A,34.70909900000000,-76.74541500000000,,,,,,,
C48A,34.71923900000000,-76.73134700000000,,,,,,,
C47B,34.71695000000000,-76.74687400000000,,,,,,,
C48B,34.72230200000000,-76.75529400000000,,,,,,,
C48,34.71115800000000,-76.73739800000000,,,,,,,
C48C,34.71900000000000,-76.72400000000000,,,,,,,
C4A,34.69664200000000,-76.78096300000000,,,,,,,
C49,34.70643300000000,-76.73688300000000,,,,,,,
C4B,34.69494300000000,-76.80578500000000,,,,,,,
C5,34.69293200000000,-76.82888300000000,,,,,,,
C51,34.72189500000000,-76.75116300000000,,,,,,,
C51B,34.71779400000000,-76.71602000000000,,,,,,,
C51A,34.71854700000000,-76.71597500000000,,,,,,,
C50,34.70415400000000,-76.71079700000000,,,,,,,
C54A,34.70926400000000,-76.67636100000000,,,,,,,
C53A,34.72161600000000,-76.68715500000000,,,,,,,
